Vardas              Pavarde                  Galutinis(vid.)     Galutinis(med.)     
Paulius             Vaitkus                  3.96                -                   
Jonas               Butkus                   6.33                -                   
Paulius             Urbonas                  5.46                -                   
Petras              Urbonas                  6.56                -                   
Alanas              Urbonas                  6.27                -                   
Tomas               Vaitkus                  5.14                -                   
Povilas             Balciunas                7.91                -                   
Alanas              Jonaitis                 9.50                -                   
Paulius             Zukauskas                4.68                -                   
Ernestas            Urbonas                  6.47                -                   
Petras              Jankauskas               5.07                -                   
Mantas              Jonaitis                 3.49                -                   
Tomas               Stankevicius             3.20                -                   
Tomas               Stankevicius             5.47                -                   
Jonas               Urbonas                  5.53                -                   
Danielius           Butkus                   6.36                -                   
Tomas               Zukauskas                7.24                -                   
Mantas              Kazlauskas               8.60                -                   
Tomas               Urbonas                  7.64                -                   
Mantas              Vaitkus                  2.90                -                   
Petras              Jankauskas               5.24                -                   
Ernestas            Vaitkus                  3.73                -                   
Danielius           Jonaitis                 2.80                -                   
Danielius           Urbonas                  3.32                -                   
Danielius           Balciunas                3.56                -                   
Povilas             Balciunas                4.40                -                   
Petras              Stankevicius             7.00                -                   
Alanas              Kazlauskas               6.17                -                   
Ernestas            Zukauskas                4.73                -                   
Tomas               Jankauskas               5.60                -                   
Ernestas            Petraitis                4.64                -                   
Alanas              Jankauskas               8.43                -                   
Lukas               Urbonas                  5.60                -                   
Ernestas            Zukauskas                8.29                -                   
Jonas               Stankevicius             8.14                -                   
Jonas               Balciunas                6.14                -                   
Povilas             Jonaitis                 4.60                -                   
Petras              Kazlauskas               3.52                -                   
Alanas              Balciunas                3.83                -                   
Alanas              Butkus                   8.20                -                   
Jonas               Butkus                   7.00                -                   
Danielius           Vaitkus                  4.54                -                   
Alanas              Zukauskas                3.49                -                   
Danielius           Stankevicius             5.12                -                   
Ernestas            Vaitkus                  5.00                -                   
Paulius             Jankauskas               5.67                -                   
Tomas               Balciunas                6.11                -                   
Paulius             Balciunas                4.30                -                   
Lukas               Petraitis                4.53                -                   
Povilas             Butkus                   6.40                -                   
Petras              Zukauskas                5.76                -                   
Jonas               Butkus                   3.53                -                   
Jonas               Kazlauskas               5.80                -                   
Povilas             Vaitkus                  7.70                -                   
Ernestas            Vaitkus                  2.40                -                   
Danielius           Urbonas                  4.24                -                   
Jonas               Balciunas                3.07                -                   
Danielius           Vaitkus                  3.50                -                   
Alanas              Butkus                   3.20                -                   
Petras              Vaitkus                  6.63                -                   
Povilas             Balciunas                7.40                -                   
Danielius           Jankauskas               7.40                -                   
Petras              Urbonas                  3.40                -                   
Paulius             Zukauskas                2.67                -                   
Petras              Jonaitis                 8.08                -                   
Povilas             Urbonas                  6.56                -                   
Povilas             Vaitkus                  6.47                -                   
Danielius           Jankauskas               4.46                -                   
Paulius             Jonaitis                 3.20                -                   
Alanas              Balciunas                4.43                -                   
Tomas               Vaitkus                  3.20                -                   
Lukas               Stankevicius             2.64                -                   
Danielius           Butkus                   5.47                -                   
Paulius             Kazlauskas               6.60                -                   
Danielius           Jonaitis                 6.03                -                   
Jonas               Vaitkus                  6.64                -                   
Ernestas            Urbonas                  4.60                -                   
Paulius             Butkus                   5.73                -                   
Mantas              Zukauskas                8.00                -                   
Alanas              Jankauskas               7.00                -                   
Povilas             Vaitkus                  5.53                -                   
Mantas              Petraitis                4.10                -                   
Povilas             Zukauskas                6.64                -                   
Tomas               Kazlauskas               3.54                -                   
Paulius             Kazlauskas               5.00                -                   
Lukas               Urbonas                  6.93                -                   
Lukas               Butkus                   2.40                -                   
Tomas               Zukauskas                3.60                -                   
Petras              Vaitkus                  4.86                -                   
Petras              Jonaitis                 6.88                -                   
Lukas               Balciunas                6.13                -                   
Tomas               Balciunas                8.11                -                   
Tomas               Urbonas                  7.68                -                   
Povilas             Stankevicius             7.56                -                   
Lukas               Jonaitis                 3.83                -                   
Lukas               Jonaitis                 5.32                -                   
Mantas              Stankevicius             7.90                -                   
Povilas             Kazlauskas               5.53                -                   
Petras              Petraitis                4.90                -                   
Jonas               Butkus                   7.70                -                   
Mantas              Petraitis                7.00                -                   
Povilas             Jankauskas               6.70                -                   
Jonas               Urbonas                  4.80                -                   
Lukas               Jonaitis                 7.08                -                   
Lukas               Petraitis                6.20                -                   
Jonas               Jankauskas               7.36                -                   
Danielius           Petraitis                3.40                -                   
Ernestas            Petraitis                7.94                -                   
Petras              Balciunas                5.77                -                   
Alanas              Jankauskas               2.87                -                   
Jonas               Vaitkus                  4.07                -                   
Ernestas            Kazlauskas               2.10                -                   
Mantas              Zukauskas                7.96                -                   
Petras              Jonaitis                 4.07                -                   
Lukas               Urbonas                  5.56                -                   
Paulius             Urbonas                  6.27                -                   
Alanas              Petraitis                5.60                -                   
Ernestas            Balciunas                2.40                -                   
Lukas               Stankevicius             7.71                -                   
Ernestas            Balciunas                2.67                -                   
Ernestas            Jonaitis                 7.32                -                   
Mantas              Jankauskas               7.32                -                   
Tomas               Butkus                   8.00                -                   
Petras              Kazlauskas               7.60                -                   
Jonas               Vaitkus                  5.13                -                   
Tomas               Vaitkus                  7.28                -                   
Paulius             Jonaitis                 3.13                -                   
Paulius             Jonaitis                 5.60                -                   
Alanas              Stankevicius             7.47                -                   
Jonas               Vaitkus                  3.32                -                   
Tomas               Balciunas                6.80                -                   
Alanas              Balciunas                6.97                -                   
Alanas              Petraitis                6.24                -                   
Tomas               Butkus                   6.50                -                   
Paulius             Jankauskas               2.87                -                   
Jonas               Zukauskas                8.20                -                   
Jonas               Jonaitis                 4.73                -                   
Tomas               Petraitis                6.34                -                   
Lukas               Kazlauskas               8.30                -                   
Lukas               Vaitkus                  7.20                -                   
Jonas               Kazlauskas               2.90                -                   
Mantas              Butkus                   2.73                -                   
Povilas             Jankauskas               9.20                -                   
Ernestas            Butkus                   5.47                -                   
Petras              Vaitkus                  7.07                -                   
Lukas               Jonaitis                 3.80                -                   
Tomas               Butkus                   8.00                -                   
Alanas              Zukauskas                4.10                -                   
Mantas              Petraitis                8.00                -                   
Lukas               Stankevicius             5.00                -                   
Povilas             Stankevicius             2.60                -                   
Alanas              Urbonas                  3.53                -                   
Danielius           Vaitkus                  6.00                -                   
Danielius           Vaitkus                  7.60                -                   
Povilas             Petraitis                8.52                -                   
Mantas              Jonaitis                 2.40                -                   
Paulius             Jankauskas               2.60                -                   
Ernestas            Jankauskas               6.76                -                   
Jonas               Balciunas                3.57                -                   
Paulius             Jankauskas               7.90                -                   
Alanas              Vaitkus                  5.51                -                   
Povilas             Stankevicius             5.67                -                   
Alanas              Stankevicius             6.33                -                   
Jonas               Petraitis                3.17                -                   
Tomas               Stankevicius             5.90                -                   
Alanas              Urbonas                  7.44                -                   
Alanas              Jankauskas               6.27                -                   
Ernestas            Jonaitis                 5.83                -                   
Petras              Zukauskas                3.28                -                   
Mantas              Balciunas                2.20                -                   
Alanas              Vaitkus                  3.50                -                   
Danielius           Zukauskas                7.08                -                   
Petras              Jankauskas               8.53                -                   
Paulius             Butkus                   7.04                -                   
Tomas               Jankauskas               7.60                -                   
Povilas             Balciunas                3.30                -                   
Petras              Kazlauskas               7.13                -                   
Jonas               Jonaitis                 5.13                -                   
Povilas             Jankauskas               8.07                -                   
Petras              Jonaitis                 3.80                -                   
Petras              Jankauskas               8.67                -                   
Danielius           Urbonas                  3.34                -                   
Tomas               Balciunas                4.60                -                   
Ernestas            Jankauskas               2.71                -                   
Danielius           Zukauskas                2.80                -                   
Paulius             Jonaitis                 3.40                -                   
Alanas              Stankevicius             9.04                -                   
Petras              Butkus                   4.80                -                   
Povilas             Vaitkus                  7.13                -                   
Ernestas            Petraitis                4.07                -                   
Povilas             Balciunas                4.53                -                   
Danielius           Jankauskas               4.80                -                   
Jonas               Kazlauskas               6.86                -                   
Jonas               Stankevicius             5.86                -                   
Ernestas            Kazlauskas               6.74                -                   
Paulius             Zukauskas                5.89                -                   
Jonas               Vaitkus                  2.60                -                   
Ernestas            Jonaitis                 4.60                -                   
Paulius             Vaitkus                  4.47                -                   
Jonas               Urbonas                  3.13                -                   
Tomas               Jonaitis                 3.26                -                   
Tomas               Jonaitis                 8.20                -                   
Lukas               Petraitis                4.73                -                   
Danielius           Urbonas                  2.80                -                   
Ernestas            Balciunas                4.60                -                   
Danielius           Petraitis                6.33                -                   
Alanas              Jankauskas               8.40                -                   
Petras              Balciunas                5.93                -                   
Alanas              Butkus                   5.88                -                   
Tomas               Vaitkus                  7.93                -                   
Tomas               Petraitis                6.87                -                   
Ernestas            Urbonas                  7.56                -                   
Jonas               Kazlauskas               5.80                -                   
Alanas              Petraitis                3.13                -                   
Lukas               Jankauskas               8.13                -                   
Alanas              Stankevicius             7.87                -                   
Ernestas            Jankauskas               6.80                -                   
Lukas               Balciunas                4.87                -                   
Ernestas            Zukauskas                4.20                -                   
Paulius             Butkus                   6.30                -                   
Ernestas            Jonaitis                 5.88                -                   
Alanas              Jankauskas               4.93                -                   
Povilas             Vaitkus                  5.60                -                   
Alanas              Petraitis                7.91                -                   
Mantas              Butkus                   8.08                -                   
Danielius           Vaitkus                  7.20                -                   
Tomas               Balciunas                5.16                -                   
Jonas               Balciunas                4.12                -                   
Tomas               Urbonas                  7.20                -                   
Jonas               Urbonas                  7.50                -                   
Tomas               Urbonas                  2.80                -                   
Jonas               Vaitkus                  7.34                -                   
Lukas               Stankevicius             7.47                -                   
Mantas              Stankevicius             3.27                -                   
Alanas              Balciunas                7.40                -                   
Povilas             Petraitis                3.83                -                   
Petras              Zukauskas                5.07                -                   
Alanas              Butkus                   5.32                -                   
Mantas              Urbonas                  8.70                -                   
Paulius             Urbonas                  9.20                -                   
Tomas               Kazlauskas               5.09                -                   
Alanas              Vaitkus                  3.67                -                   
Ernestas            Vaitkus                  3.93                -                   
Alanas              Vaitkus                  4.10                -                   
Danielius           Stankevicius             8.80                -                   
Danielius           Zukauskas                6.40                -                   
Jonas               Kazlauskas               5.40                -                   
Paulius             Urbonas                  3.60                -                   
Ernestas            Urbonas                  3.10                -                   
Povilas             Stankevicius             3.40                -                   
Lukas               Urbonas                  7.72                -                   
Tomas               Petraitis                7.00                -                   
Mantas              Balciunas                3.40                -                   
Petras              Petraitis                5.07                -                   
Ernestas            Kazlauskas               8.49                -                   
Povilas             Petraitis                7.73                -                   
Mantas              Zukauskas                3.53                -                   
Paulius             Jankauskas               4.93                -                   
Lukas               Petraitis                4.73                -                   
Danielius           Kazlauskas               2.44                -                   
Ernestas            Urbonas                  6.31                -                   
Alanas              Petraitis                6.63                -                   
Jonas               Balciunas                5.50                -                   
Danielius           Jankauskas               3.00                -                   
Alanas              Petraitis                8.60                -                   
